,n,mu,partition,acc_measure,acc_value
89,10000,0.3,ECG,AMI,0.0
90,10000,0.3,ECG,ARI,0.9458894703264508
91,10000,0.3,ECG,FPR,0.0
92,10000,0.3,ECG,FNR,0.0
93,10000,0.3,ECG,Precision,0.0
94,10000,0.3,ECG,Recall,0.0
95,10000,0.3,ECG,F1-Score,0.0
96,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.9210060441724032
97,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
98,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.827493233188231
99,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
100,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
101,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
102,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
103,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
104,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.9382286301134873
105,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
106,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.8822096315885173
107,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
108,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
109,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
110,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
111,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
112,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9592495965576342
113,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
114,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.9191996293749815
115,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
116,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
117,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
118,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
119,10000,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
120,10000,0.4,Leiden-MOD,NMI,0.7582274601438495
121,10000,0.4,Leiden-MOD,AMI,0.0
122,10000,0.4,Leiden-MOD,ARI,0.4672219591819368
123,10000,0.4,Leiden-MOD,FPR,0.0
124,10000,0.4,Leiden-MOD,FNR,0.0
125,10000,0.4,Leiden-MOD,Precision,0.0
126,10000,0.4,Leiden-MOD,Recall,0.0
127,10000,0.4,Leiden-MOD,F1-Score,0.0
128,10000,0.4,ECG,NMI,0.8544847492876759
129,10000,0.4,ECG,AMI,0.0
130,10000,0.4,ECG,ARI,0.7017078103410355
131,10000,0.4,ECG,FPR,0.0
132,10000,0.4,ECG,FNR,0.0
133,10000,0.4,ECG,Precision,0.0
134,10000,0.4,ECG,Recall,0.0
135,10000,0.4,ECG,F1-Score,0.0
136,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.7787431821156835
137,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
138,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.5465667687219163
139,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
140,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
141,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
142,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
143,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
144,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.8530737469939935
145,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
146,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.6866418316933984
147,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
148,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
149,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
150,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
151,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
152,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.9087046376751574
153,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
154,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.8157547273586642
155,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
156,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
157,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
158,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
159,10000,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
160,10000,0.5,Leiden-MOD,NMI,0.3566566063305665
161,10000,0.5,Leiden-MOD,AMI,0.0
162,10000,0.5,Leiden-MOD,ARI,0.1022224453919078
163,10000,0.5,Leiden-MOD,FPR,0.0
164,10000,0.5,Leiden-MOD,FNR,0.0
165,10000,0.5,Leiden-MOD,Precision,0.0
166,10000,0.5,Leiden-MOD,Recall,0.0
167,10000,0.5,Leiden-MOD,F1-Score,0.0
168,10000,0.5,ECG,NMI,0.4607771160076918
169,10000,0.5,ECG,AMI,0.0
170,10000,0.5,ECG,ARI,0.1379998407743764
171,10000,0.5,ECG,FPR,0.0
172,10000,0.5,ECG,FNR,0.0
173,10000,0.5,ECG,Precision,0.0
174,10000,0.5,ECG,Recall,0.0
175,10000,0.5,ECG,F1-Score,0.0
176,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.37035322121966996
177,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
178,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.09265018993694073
179,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
180,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
181,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
182,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",Recall,0.0
183,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",F1-Score,0.0
184,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.4580278046468761
185,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.0
186,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.1476546080283571
187,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",FPR,0.0
188,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",FNR,0.0
189,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",Precision,0.0
190,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",Recall,0.0
191,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",F1-Score,0.0
192,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.690288539428652
193,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.0
194,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.2749499147088762
195,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",FPR,0.0
196,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",FNR,0.0
197,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",Precision,0.0
198,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",Recall,0.0
199,10000,0.5,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-Score,0.0
200,10000,0.6,Leiden-MOD,NMI,0.12632644572051982
201,10000,0.6,Leiden-MOD,AMI,0.0
202,10000,0.6,Leiden-MOD,ARI,0.02126051870422207
203,10000,0.6,Leiden-MOD,FPR,0.0
204,10000,0.6,Leiden-MOD,FNR,0.0
205,10000,0.6,Leiden-MOD,Precision,0.0
206,10000,0.6,Leiden-MOD,Recall,0.0
207,10000,0.6,Leiden-MOD,F1-Score,0.0
208,10000,0.6,ECG,NMI,0.2038503800807458
209,10000,0.6,ECG,AMI,0.0
210,10000,0.6,ECG,ARI,0.04138633398631337
211,10000,0.6,ECG,FPR,0.0
212,10000,0.6,ECG,FNR,0.0
213,10000,0.6,ECG,Precision,0.0
214,10000,0.6,ECG,Recall,0.0
215,10000,0.6,ECG,F1-Score,0.0
216,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.1439721966787278
217,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.0
218,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.026849803714049738
219,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",FPR,0.0
220,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",FNR,0.0
221,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",Precision,0.0
