,k,n,res,method,partition,acc_measure,acc_value
66,100,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,1
67,100,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
68,100,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
69,100,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Precision,1
70,100,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Recall,1
71,100,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,1
72,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
73,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
74,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
75,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
76,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
77,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Precision,1
78,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Recall,1
79,100,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,1
80,500,10,mod,Leiden-mod,Leiden-mod,NMI,0.897702841
81,500,10,mod,Leiden-mod,Leiden-mod,AMI,0.796986434
82,500,10,mod,Leiden-mod,Leiden-mod,ARI,0.447109826
83,500,10,mod,Leiden-mod,Leiden-mod,FPR,0.004432866
84,500,10,mod,Leiden-mod,Leiden-mod,FNR,0
85,500,10,mod,Leiden-mod,Leiden-mod,Precision,0.289203085
86,500,10,mod,Leiden-mod,Leiden-mod,Recall,1
87,500,10,mod,Leiden-mod,Leiden-mod,F1-Score,0.448654038
88,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.953403268
89,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.891792463
90,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.666856676
91,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FPR,0.001795591
92,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FNR,0
93,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Precision,0.501113586
94,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Recall,1
95,500,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",F1-Score,0.667655786
96,500,10,mod,Leiden-mod,ECG,NMI,1
97,500,10,mod,Leiden-mod,ECG,AMI,1
98,500,10,mod,Leiden-mod,ECG,ARI,1
99,500,10,mod,Leiden-mod,ECG,FPR,0
100,500,10,mod,Leiden-mod,ECG,FNR,0
101,500,10,mod,Leiden-mod,ECG,Precision,1
102,500,10,mod,Leiden-mod,ECG,Recall,1
103,500,10,mod,Leiden-mod,ECG,F1-Score,1
104,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.996642712
105,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.991003681
106,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.967681874
107,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0.00012024
108,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
109,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0.9375
110,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Recall,1
111,500,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0.967741935
112,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
113,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
114,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
115,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
116,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
117,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Precision,1
118,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Recall,1
119,500,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,1
120,1000,10,mod,Leiden-mod,Leiden-mod,NMI,0.877983132
121,1000,10,mod,Leiden-mod,Leiden-mod,AMI,0.751774233
122,1000,10,mod,Leiden-mod,Leiden-mod,ARI,0.336084918
123,1000,10,mod,Leiden-mod,Leiden-mod,FPR,0.003543544
124,1000,10,mod,Leiden-mod,Leiden-mod,FNR,0
125,1000,10,mod,Leiden-mod,Leiden-mod,Precision,0.202702703
126,1000,10,mod,Leiden-mod,Leiden-mod,Recall,1
127,1000,10,mod,Leiden-mod,Leiden-mod,F1-Score,0.337078652
128,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.916157415
129,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.810358161
130,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.449682904
131,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FPR,0.002198198
132,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FNR,0
133,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Precision,0.290697674
134,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Recall,1
135,1000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",F1-Score,0.45045045
136,1000,10,mod,Leiden-mod,ECG,NMI,1
137,1000,10,mod,Leiden-mod,ECG,AMI,1
138,1000,10,mod,Leiden-mod,ECG,ARI,1
139,1000,10,mod,Leiden-mod,ECG,FPR,0
140,1000,10,mod,Leiden-mod,ECG,FNR,0
141,1000,10,mod,Leiden-mod,ECG,Precision,1
142,1000,10,mod,Leiden-mod,ECG,Recall,1
143,1000,10,mod,Leiden-mod,ECG,F1-Score,1
144,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.991256819
145,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.974584826
146,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.911767686
147,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0.000174174
148,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
149,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0.837988827
150,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Recall,1
151,1000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0.911854103
152,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
153,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
154,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
155,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
156,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
157,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Precision,1
158,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Recall,1
159,1000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,1
160,5000,10,mod,Leiden-mod,Leiden-mod,NMI,0.840986291
161,5000,10,mod,Leiden-mod,Leiden-mod,AMI,0.662106316
162,5000,10,mod,Leiden-mod,Leiden-mod,ARI,0.160241314
163,5000,10,mod,Leiden-mod,Leiden-mod,FPR,0.001883097
164,5000,10,mod,Leiden-mod,Leiden-mod,FNR,0
165,5000,10,mod,Leiden-mod,Leiden-mod,Precision,0.087263419
166,5000,10,mod,Leiden-mod,Leiden-mod,Recall,1
167,5000,10,mod,Leiden-mod,Leiden-mod,F1-Score,0.160519369
168,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.845168765
169,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.667283023
170,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.165354352
171,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FPR,0.001813883
172,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FNR,0
173,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Precision,0.090292548
174,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Recall,1
175,5000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",F1-Score,0.165629946
176,5000,10,mod,Leiden-mod,ECG,NMI,0.95108685
177,5000,10,mod,Leiden-mod,ECG,AMI,0.852738685
178,5000,10,mod,Leiden-mod,ECG,ARI,0.590137336
179,5000,10,mod,Leiden-mod,ECG,FPR,0.00024997
180,5000,10,mod,Leiden-mod,ECG,FNR,0
181,5000,10,mod,Leiden-mod,ECG,Precision,0.418682546
182,5000,10,mod,Leiden-mod,ECG,Recall,1
183,5000,10,mod,Leiden-mod,ECG,F1-Score,0.590241343
184,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.965881766
185,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.891135535
186,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.644520061
187,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0.00019852
188,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
189,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0.475586557
190,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Recall,1
191,5000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0.64460679
192,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.999625502
193,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.998616496
194,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.994913959
195,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FPR,1.84E-06
196,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
197,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0.989881214
198,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",Recall,1
199,5000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0.99491488
200,10000,10,mod,Leiden-mod,Leiden-mod,NMI,0.82960983
201,10000,10,mod,Leiden-mod,Leiden-mod,AMI,0.631056428
202,10000,10,mod,Leiden-mod,Leiden-mod,ARI,0.115928209
203,10000,10,mod,Leiden-mod,Leiden-mod,FPR,0.001370817
204,10000,10,mod,Leiden-mod,Leiden-mod,FNR,0
205,10000,10,mod,Leiden-mod,Leiden-mod,Precision,0.061615138
206,10000,10,mod,Leiden-mod,Leiden-mod,Recall,1
207,10000,10,mod,Leiden-mod,Leiden-mod,F1-Score,0.116078108
208,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.833676116
209,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.635898601
210,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.121174638
211,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FPR,0.00130377
212,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",FNR,0
213,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Precision,0.064579088
214,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",Recall,1
215,10000,10,mod,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",F1-Score,0.121323232
216,10000,10,mod,Leiden-mod,ECG,NMI,0.926465931
217,10000,10,mod,Leiden-mod,ECG,AMI,0.784776183
218,10000,10,mod,Leiden-mod,ECG,ARI,0.409024888
219,10000,10,mod,Leiden-mod,ECG,FPR,0.000260006
220,10000,10,mod,Leiden-mod,ECG,FNR,0
221,10000,10,mod,Leiden-mod,ECG,Precision,0.257157552
222,10000,10,mod,Leiden-mod,ECG,Recall,1
223,10000,10,mod,Leiden-mod,ECG,F1-Score,0.409109505
224,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.953868424
225,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.84997036
226,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.519956859
227,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0.000166157
228,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
229,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0.351370344
230,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",Recall,1
231,10000,10,mod,Leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0.520020801
232,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.998116868
233,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.992535826
234,10000,10,mod,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.97286529
