,deg,mu,partition,acc_measure,acc_value
75,5,0.7,ECG,ARI,0.007220307
76,5,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.240246853
77,5,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.007938667
78,5,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.250963082
79,5,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.007974222
80,5,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.679950392
81,5,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.012347475
82,5,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.715172225
83,5,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.00706797
84,5,0.8,Leiden-MOD,NMI,0.130789271
85,5,0.8,Leiden-MOD,ARI,0.001054121
86,5,0.8,ECG,NMI,0.22500758
87,5,0.8,ECG,ARI,0.001782866
88,5,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.190012623
89,5,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.001722554
90,5,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.205803918
91,5,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.001864585
92,5,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.659246497
93,5,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.002076288
94,5,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.704758374
95,5,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.00097987
96,5,0.9,Leiden-MOD,NMI,0.128336511
97,5,0.9,Leiden-MOD,ARI,0.000131695
98,5,0.9,ECG,NMI,0.220450439
99,5,0.9,ECG,ARI,8.82E-05
100,5,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.174585016
101,5,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.00032827
102,5,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.194928257
103,5,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.000117351
104,5,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.655013982
105,5,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-5.33E-05
106,5,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.702333305
107,5,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-7.29E-05
,10,0.1,Leiden-MOD,NMI,0.96552566
,10,0.1,Leiden-MOD,ARI,0.943191485
,10,0.1,ECG,NMI,0.9981974
,10,0.1,ECG,ARI,0.998651417
,10,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.963378346
,10,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.938699658
,10,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.968057888
,10,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.946977803
,10,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.979811373
,10,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.967975379
,10,0.2,Leiden-MOD,NMI,0.954801359
,10,0.2,Leiden-MOD,ARI,0.917865277
,10,0.2,ECG,NMI,0.996318904
,10,0.2,ECG,ARI,0.995830116
,10,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.950327414
,10,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.904877482
,10,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.957412728
,10,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.921327242
,10,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.974356454
,10,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.95244766
,10,0.3,Leiden-MOD,NMI,0.927645874
,10,0.3,Leiden-MOD,ARI,0.85608759
,10,0.3,ECG,NMI,0.971269667
,10,0.3,ECG,ARI,0.916259992
,10,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.921006044
,10,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.827493233
,10,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.93822863
,10,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.882209632
,10,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.959249597
,10,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.919199629
,10,0.4,Leiden-MOD,NMI,0.75822746
,10,0.4,Leiden-MOD,ARI,0.467221959
,10,0.4,ECG,NMI,0.866035013
,10,0.4,ECG,ARI,0.739252277
,10,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.778743182
,10,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.546566769
,10,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.853073747
,10,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.686641832
,10,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.908704638
,10,0.4,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.815754727
,10,0.5,Leiden-MOD,NMI,0.356656606
