,k,n,res,method,partition,acc_measure,acc_value
84,100,10,mod,louvain,FastEnsemble(Louvain),FNR,0
85,100,10,mod,louvain,FastEnsemble(Louvain),Precision,0
86,100,10,mod,louvain,FastEnsemble(Louvain),Recall,0
87,100,10,mod,louvain,FastEnsemble(Louvain),F1-Score,0
88,100,10,mod,leiden-mod,ECG,NMI,1
89,100,10,mod,leiden-mod,ECG,AMI,1
90,100,10,mod,leiden-mod,ECG,ARI,1
91,100,10,mod,leiden-mod,ECG,FPR,0
92,100,10,mod,leiden-mod,ECG,FNR,0
93,100,10,mod,leiden-mod,ECG,Precision,0
94,100,10,mod,leiden-mod,ECG,Recall,0
95,100,10,mod,leiden-mod,ECG,F1-Score,0
96,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.951056672
97,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.911390634
98,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.740869041
99,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
100,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
101,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0
102,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Recall,0
103,100,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0
104,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.951056672
105,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.911390634
106,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.740869041
107,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
108,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
109,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0
110,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Recall,0
111,100,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0
112,500,10,mod,leiden-mod,Leiden-mod,NMI,0.894194639
113,500,10,mod,leiden-mod,Leiden-mod,AMI,0.791872301
114,500,10,mod,leiden-mod,Leiden-mod,ARI,0.431505052
115,500,10,mod,leiden-mod,Leiden-mod,FPR,0
116,500,10,mod,leiden-mod,Leiden-mod,FNR,0
117,500,10,mod,leiden-mod,Leiden-mod,Precision,0
118,500,10,mod,leiden-mod,Leiden-mod,Recall,0
119,500,10,mod,leiden-mod,Leiden-mod,F1-Score,0
120,500,10,mod,louvain,Louvain,NMI,0.895628827
121,500,10,mod,louvain,Louvain,AMI,0.793932337
122,500,10,mod,louvain,Louvain,ARI,0.435304062
123,500,10,mod,louvain,Louvain,FPR,0
124,500,10,mod,louvain,Louvain,FNR,0
125,500,10,mod,louvain,Louvain,Precision,0
126,500,10,mod,louvain,Louvain,Recall,0
127,500,10,mod,louvain,Louvain,F1-Score,0
128,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),NMI,0.905800712
129,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),AMI,0.809004327
130,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),ARI,0.466303235
131,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FPR,0
132,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FNR,0
133,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Precision,0
134,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Recall,0
135,500,10,mod,leiden-mod,FastEnsemble(Leiden-mod),F1-Score,0
136,500,10,mod,louvain,FastEnsemble(Louvain),NMI,0.909632336
137,500,10,mod,louvain,FastEnsemble(Louvain),AMI,0.814901235
