net,type,res,acc_value,acc_measure
wiki_topcats,FastEnsemble(tr=0.9),mod,,NMI
wiki_topcats,FastEnsemble(tr=0.9),0.0001,0.993671906,NMI
wiki_topcats,FastEnsemble(tr=0.9),0.001,0.993343684,NMI
wiki_topcats,FastEnsemble(tr=0.9),0.01,0.983684499,NMI
wiki_topcats,FastEnsemble(tr=0.9),0.1,0.986777744,NMI
wiki_topcats,FastEnsemble(tr=0.9),0.5,,NMI
wiki_talk,Leiden,mod,0.771836904,NMI
wiki_talk,Leiden,0.0001,0.871643594,NMI
wiki_talk,Leiden,0.001,0.788838511,NMI
wiki_talk,Leiden,0.01,0.743916305,NMI
wiki_talk,Leiden,0.1,0.708035538,NMI
wiki_talk,Leiden,0.5,,NMI
wiki_talk,post-CM,mod,0.809219648,NMI
wiki_talk,post-CM,0.0001,0.8904219,NMI
wiki_talk,post-CM,0.001,0.81784135,NMI
wiki_talk,post-CM,0.01,0.834216299,NMI
wiki_talk,post-CM,0.1,0.778449321,NMI
wiki_talk,post-CM,0.5,,NMI
wiki_topcats,ECG,0.001,0.93900149,NMI
cit_hepph,ECG,0.001,0.999926292,NMI
cit_patents,ECG,0.001,0.876470419,NMI
open_citations,ECG,0.001,0.871264448,NMI
cen,ECG,0.001,0.850802684,NMI
wiki_topcats,ECG,mod,0.9474,NMI
cit_hepph,ECG,mod,1,NMI
cit_patents,ECG,mod,0.9086,NMI
open_citations,ECG,mod,0.9479,NMI
cen,ECG,mod,0.9803,NMI
cit_hepph,FastConsensus,mod,0.995,NMI
wiki_topcats,FastConsensus,mod,1,NMI
cen,Leiden,mod,0.414104282,ARI
cen,Leiden,0.0001,0.581125658,ARI
cen,Leiden,0.001,0.880351438,ARI
cen,Leiden,0.01,0.978789579,ARI
cen,post-CM,mod,0.955863468,ARI
cen,post-CM,0.0001,0.969344069,ARI
cen,post-CM,0.001,0.948474385,ARI
cen,post-CM,0.01,0.983336912,ARI
cen,post-CM,0.1,0.004724549,ARI
cen,post-CM,0.5,0,ARI
cen,FastEnsemble,mod,0.881980035,ARI
cen,FastEnsemble,0.0001,0.896654446,ARI
cen,FastEnsemble,0.001,0.993767759,ARI
cen,FastEnsemble,0.01,0.928967339,ARI
cen,FastEnsemble(tr=0.9),mod,,ARI
cen,FastEnsemble(tr=0.9),0.0001,0.92329291,ARI
cen,FastEnsemble(tr=0.9),0.001,0.995384525,ARI
cen,FastEnsemble(tr=0.9),0.01,0.889288677,ARI
open_citations,Leiden,mod,0.150200075,ARI
open_citations,Leiden,0.0001,0.013239573,ARI
open_citations,Leiden,0.001,0.412983243,ARI
open_citations,Leiden,0.01,1,ARI
