,n,m,p,method,partition,acc_measure,acc_value
42,2000,14371,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.591584821
43,2000,14371,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.198248981
,2000,14371,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.407203718
44,2000,14371,0.02,Leiden-mod,ECG,NMI,0.597419692
45,2000,14371,0.02,Leiden-mod,ECG,ARI,0.199818992
,2000,14371,0.02,Leiden-mod,ECG,AMI,0.412128546
46,2000,14371,0.02,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.709871376
47,2000,14371,0.02,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.503477504
,2000,14371,0.02,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.535375881
48,2000,14371,0.02,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.951604799
49,2000,14371,0.02,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.966340574
,2000,14371,0.02,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.877661724
50,2000,29109,0.05,Leiden-mod,Leiden-mod,NMI,0.372521084
51,2000,29109,0.05,Leiden-mod,Leiden-mod,ARI,0.07976897
,2000,29109,0.05,Leiden-mod,Leiden-mod,AMI,0.225952999
52,2000,29109,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.679128866
53,2000,29109,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0.343742335
,2000,29109,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,0.494817843
54,2000,29109,0.05,Leiden-mod,ECG,NMI,0.58897756
55,2000,29109,0.05,Leiden-mod,ECG,ARI,0.170891012
,2000,29109,0.05,Leiden-mod,ECG,AMI,0.403400121
56,2000,29109,0.05,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.995491979
57,2000,29109,0.05,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.991471222
,2000,29109,0.05,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.986817337
