net,type,res,time,time_text,modularity,
wiki_topcats,Leiden,0.01,762,12 m 42s,0.310779383,
wiki_topcats,Leiden,0.1,799,13m 19s,0.197021606,
wiki_topcats,Leiden,0.5,,,,
wiki_topcats,post-CM,mod,,,,
wiki_topcats,post-CM,0.0001,,,,
wiki_topcats,post-CM,0.001,,,,
wiki_topcats,post-CM,0.01,,,,
wiki_topcats,post-CM,0.1,,,,
wiki_topcats,post-CM,0.5,,,,
wiki_topcats,FastEnsemble,mod,"27,384",7h 36m 24s,0.793282835,
wiki_topcats,FastEnsemble,0.0001,"3,422",57m 2s,0.620098733,
wiki_topcats,FastEnsemble,0.001,"2,721",45m 21s,0.453489196,
wiki_topcats,FastEnsemble,0.01,"3,114",51m 54s,0.30782042,
wiki_topcats,FastEnsemble,0.1,"3,079",51m 19s,0.193967139,
wiki_topcats,FastEnsemble,0.5,,,,
wiki_topcats,FastEnsemble(tr=0.9),mod,,,,
wiki_topcats,FastEnsemble(tr=0.9),0.0001,,,,
wiki_topcats,FastEnsemble(tr=0.9),0.001,,,,
wiki_topcats,FastEnsemble(tr=0.9),0.01,,,,
wiki_topcats,FastEnsemble(tr=0.9),0.1,,,,
wiki_topcats,FastEnsemble(tr=0.9),0.5,,,,
wiki_talk,Leiden,mod,,,,
wiki_talk,Leiden,0.0001,,,,
wiki_talk,Leiden,0.001,,,,
wiki_talk,Leiden,0.01,,,,
wiki_talk,Leiden,0.1,,,,
wiki_talk,Leiden,0.5,,,,
wiki_talk,post-CM,mod,,,,
wiki_talk,post-CM,0.0001,,,,
wiki_talk,post-CM,0.001,,,,
wiki_talk,post-CM,0.01,,,,
wiki_talk,post-CM,0.1,,,,
wiki_talk,post-CM,0.5,,,,
wiki_topcats,ECG,0.001,,,,
cit_hepph,ECG,0.001,,,,
cit_patents,ECG,0.001,,,,
open_citations,ECG,0.001,,,,
cen,ECG,0.001,,,,
wiki_topcats,ECG,mod,"22,836",6h 20m 36s,,
cit_hepph,ECG,mod,15,15s,,
cit_patents,ECG,mod,"130,057",1d 12h 7m 37s,,
open_citations,ECG,mod,"79,110",21h 58m 30s,,
cen,ECG,mod,"45,481",12h 38m 1s,,
cit_hepph,FastConsensus,mod,"1,314",21m 54s,,
wiki_topcats,FastConsensus,mod,"52,479",14h 34m 39s,,
