,n,mu,rep,method,acc_measure,acc_value
103,10000,0.6,2,FastEnsemble,ARI,0.0866506794830016
104,10000,0.6,2,FastEnsemble,AMI,0.15302286740787413
105,10000,0.6,2,ECG,NMI,0.203407974976661
106,10000,0.6,2,ECG,ARI,0.04052022564339855
107,10000,0.6,2,ECG,AMI,0.15781715454619732
108,10000,0.7,1,Leiden-mod,NMI,0.05662433169242157
109,10000,0.7,1,Leiden-mod,ARI,0.00503356006847553
110,10000,0.7,1,Leiden-mod,AMI,0.032894665799827125
111,10000,0.7,1,FastEnsemble,NMI,0.6257554144923451
112,10000,0.7,1,FastEnsemble,ARI,0.02724182098184616
113,10000,0.7,1,FastEnsemble,AMI,0.06067613627693085
114,10000,0.7,1,ECG,NMI,0.10456906919651293
115,10000,0.7,1,ECG,ARI,0.015690332297658763
116,10000,0.7,1,ECG,AMI,0.05990546960023956
117,10000,0.7,2,Leiden-mod,NMI,0.06319750237159097
118,10000,0.7,2,Leiden-mod,ARI,0.005750682280550186
119,10000,0.7,2,Leiden-mod,AMI,0.03709741915199471
120,10000,0.7,2,FastEnsemble,NMI,0.6280701843577118
121,10000,0.7,2,FastEnsemble,ARI,0.028729980190893768
122,10000,0.7,2,FastEnsemble,AMI,0.06158640632198606
123,10000,0.7,2,ECG,NMI,0.1093939178287043
124,10000,0.7,2,ECG,ARI,0.015546316184669317
125,10000,0.7,2,ECG,AMI,0.05887475441610374
126,10000,0.8,1,Leiden-mod,NMI,0.035352609839940076
127,10000,0.8,1,Leiden-mod,ARI,0.001002623654094763
128,10000,0.8,1,Leiden-mod,AMI,0.008391561736378861
129,10000,0.8,1,FastEnsemble,NMI,0.6364394020860112
130,10000,0.8,1,FastEnsemble,ARI,0.0023379327213173917
131,10000,0.8,1,FastEnsemble,AMI,0.008020436837176693
132,10000,0.8,1,ECG,NMI,0.08820247974484816
133,10000,0.8,1,ECG,ARI,0.0018057496677907413
134,10000,0.8,1,ECG,AMI,0.00837698052271871
135,10000,0.8,2,Leiden-mod,NMI,0.033331041477460244
136,10000,0.8,2,Leiden-mod,ARI,0.0009747606016259667
137,10000,0.8,2,Leiden-mod,AMI,0.00964877511731919
138,10000,0.8,2,FastEnsemble,NMI,0.6421635233910702
139,10000,0.8,2,FastEnsemble,ARI,0.0006169357703756236
140,10000,0.8,2,FastEnsemble,AMI,0.005022984018807113
141,10000,0.8,2,ECG,NMI,0.09718685206763274
142,10000,0.8,2,ECG,ARI,0.002235834832575906
143,10000,0.8,2,ECG,AMI,0.010319305136374177
144,10000,0.9,1,Leiden-mod,NMI,0.024608505302188867
145,10000,0.9,1,Leiden-mod,ARI,9.78354672651069e-05
146,10000,0.9,1,Leiden-mod,AMI,0.0011395276569042684
147,10000,0.9,1,FastEnsemble,NMI,0.6424942034438934
148,10000,0.9,1,FastEnsemble,ARI,-1.3559488935036179e-05
149,10000,0.9,1,FastEnsemble,AMI,-0.0003307564315399026
150,10000,0.9,1,ECG,NMI,0.09320990559506814
151,10000,0.9,1,ECG,ARI,-0.00030951946661766526
152,10000,0.9,1,ECG,AMI,-0.0014449564851712398
153,10000,0.9,2,Leiden-mod,NMI,0.028418210321272116
154,10000,0.9,2,Leiden-mod,ARI,0.00011501959759168878
155,10000,0.9,2,Leiden-mod,AMI,0.00254917783652043
156,10000,0.9,2,FastEnsemble,NMI,0.6435261992231434
157,10000,0.9,2,FastEnsemble,ARI,1.741423270429278e-05
158,10000,0.9,2,FastEnsemble,AMI,0.00035848739730460176
159,10000,0.9,2,ECG,NMI,0.09847434555296361
160,10000,0.9,2,ECG,ARI,-3.19513508118435e-05
161,10000,0.9,2,ECG,AMI,0.0013369559526376757
