,n,m,p,method,partition,acc_measure,acc_value
43,1000,9970,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0
,1000,9970,0.02,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,6.75E-10
44,1000,9970,0.02,Leiden-mod,ECG,NMI,0.558850284
45,1000,9970,0.02,Leiden-mod,ECG,ARI,0
,1000,9970,0.02,Leiden-mod,ECG,AMI,7.65E-13
46,1000,9970,0.02,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.999598466
47,1000,9970,0.02,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0
,1000,9970,0.02,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,2.65E-08
48,1000,9970,0.02,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
49,1000,9970,0.02,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
,1000,9970,0.02,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
50,1000,25202,0.05,Leiden-mod,Leiden-mod,NMI,0.476778272
51,1000,25202,0.05,Leiden-mod,Leiden-mod,ARI,0
,1000,25202,0.05,Leiden-mod,Leiden-mod,AMI,1.09E-12
52,1000,25202,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",NMI,0.998718492
53,1000,25202,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",ARI,0
,1000,25202,0.05,Leiden-mod,"FastEnsemble(Leiden-mod,tr=0.8)",AMI,8.21E-09
54,1000,25202,0.05,Leiden-mod,ECG,NMI,0.495730665
55,1000,25202,0.05,Leiden-mod,ECG,ARI,0
,1000,25202,0.05,Leiden-mod,ECG,AMI,9.94E-13
56,1000,25202,0.05,Leiden-mod,"Strict(np=10,Leiden-mod)",NMI,1
57,1000,25202,0.05,Leiden-mod,"Strict(np=10,Leiden-mod)",ARI,1
,1000,25202,0.05,Leiden-mod,"Strict(np=10,Leiden-mod)",AMI,1
58,1000,25202,0.05,Leiden-mod,"Strict(np=50,Leiden-mod)",NMI,1
59,1000,25202,0.05,Leiden-mod,"Strict(np=50,Leiden-mod)",ARI,1
,1000,25202,0.05,Leiden-mod,"Strict(np=50,Leiden-mod)",AMI,1
