,n,mu,partition,acc_measure,acc_value
57,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.032845971
58,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.628850442
59,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.085040446
,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.151807884
,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-score,0.092260015
60,10000,0.7,Leiden-MOD,NMI,0.058280266
61,10000,0.7,Leiden-MOD,ARI,0.003996829
,10000,0.7,Leiden-MOD,AMI,0.033503257
,10000,0.7,Leiden-MOD,F1-score,0.03111266
62,10000,0.7,ECG,NMI,0.104247611
63,10000,0.7,ECG,ARI,0.015867649
,10000,0.7,ECG,AMI,0.060435922
,10000,0.7,ECG,F1-score,0.041144394
64,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.059221973
65,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.007348528
66,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.095620184
67,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.013869023
68,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.625807292
69,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.02682795
,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.060484838
,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-score,0.028725592
70,10000,0.8,Leiden-MOD,NMI,0.036413947
71,10000,0.8,Leiden-MOD,ARI,0.000633721
,10000,0.8,Leiden-MOD,AMI,0.008810661
,10000,0.8,Leiden-MOD,F1-score,0.027273191
72,10000,0.8,ECG,NMI,0.086639488
73,10000,0.8,ECG,ARI,0.00177843
,10000,0.8,ECG,AMI,0.009713138
,10000,0.8,ECG,F1-score,0.023386426
74,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.02775776
75,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.001274295
76,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.082759034
77,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.002055518
78,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.63660195
79,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.002612841
,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",AMI,0.007932755
,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",F1-score,0.003031468
80,10000,0.9,Leiden-MOD,NMI,0.03102257
81,10000,0.9,Leiden-MOD,ARI,0.000236805
,10000,0.9,Leiden-MOD,AMI,0.003516924
,10000,0.9,Leiden-MOD,F1-score,0.026931179
82,10000,0.9,ECG,NMI,0.098078272
83,10000,0.9,ECG,ARI,0.000253106
,10000,0.9,ECG,AMI,0.000289281
,10000,0.9,ECG,F1-score,0.017427263
84,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.026847145
85,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.00015207
86,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.086979466
87,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,-9.77E-06
