,k,n,res,method,partition,acc_measure,acc_value
79,1000,10,mod,leiden-mod,Leiden-MOD,F1-Score,0.0
80,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),NMI,0.9688858442152904
81,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),AMI,0.0
82,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),ARI,0.730805465862516
83,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FPR,0.0
84,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FNR,0.0
85,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Precision,0.0
86,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Recall,0.0
87,1000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),F1-Score,0.0
88,1000,10,mod,leiden-mod,ECG,NMI,1.0
89,1000,10,mod,leiden-mod,ECG,AMI,0.0
90,1000,10,mod,leiden-mod,ECG,ARI,1.0
91,1000,10,mod,leiden-mod,ECG,FPR,0.0
92,1000,10,mod,leiden-mod,ECG,FNR,0.0
93,1000,10,mod,leiden-mod,ECG,Precision,0.0
94,1000,10,mod,leiden-mod,ECG,Recall,0.0
95,1000,10,mod,leiden-mod,ECG,F1-Score,0.0
96,5000,10,mod,leiden-mod,Leiden-MOD,NMI,0.8409862910994081
97,5000,10,mod,leiden-mod,Leiden-MOD,AMI,0.0
98,5000,10,mod,leiden-mod,Leiden-MOD,ARI,0.16024131420547974
99,5000,10,mod,leiden-mod,Leiden-MOD,FPR,0.0
100,5000,10,mod,leiden-mod,Leiden-MOD,FNR,0.0
101,5000,10,mod,leiden-mod,Leiden-MOD,Precision,0.0
102,5000,10,mod,leiden-mod,Leiden-MOD,Recall,0.0
103,5000,10,mod,leiden-mod,Leiden-MOD,F1-Score,0.0
104,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),NMI,0.8962275242691606
105,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),AMI,0.0
106,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),ARI,0.27562880322950256
107,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FPR,0.0
108,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FNR,0.0
109,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Precision,0.0
110,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Recall,0.0
111,5000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),F1-Score,0.0
112,5000,10,mod,leiden-mod,ECG,NMI,0.9507096040538451
113,5000,10,mod,leiden-mod,ECG,AMI,0.0
114,5000,10,mod,leiden-mod,ECG,ARI,0.587362445303537
115,5000,10,mod,leiden-mod,ECG,FPR,0.0
116,5000,10,mod,leiden-mod,ECG,FNR,0.0
117,5000,10,mod,leiden-mod,ECG,Precision,0.0
118,5000,10,mod,leiden-mod,ECG,Recall,0.0
119,5000,10,mod,leiden-mod,ECG,F1-Score,0.0
120,10000,10,mod,leiden-mod,Leiden-MOD,NMI,0.8317583290645295
121,10000,10,mod,leiden-mod,Leiden-MOD,AMI,0.0
122,10000,10,mod,leiden-mod,Leiden-MOD,ARI,0.11918107088061011
123,10000,10,mod,leiden-mod,Leiden-MOD,FPR,0.0
124,10000,10,mod,leiden-mod,Leiden-MOD,FNR,0.0
125,10000,10,mod,leiden-mod,Leiden-MOD,Precision,0.0
126,10000,10,mod,leiden-mod,Leiden-MOD,Recall,0.0
127,10000,10,mod,leiden-mod,Leiden-MOD,F1-Score,0.0
128,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),NMI,0.8727211986046218
129,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),AMI,0.0
130,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),ARI,0.18056331868979297
131,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FPR,0.0
132,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),FNR,0.0
133,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Precision,0.0
134,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),Recall,0.0
135,10000,10,mod,leiden-mod,FastEnsemble(Leiden-MOD),F1-Score,0.0
136,10000,10,mod,leiden-mod,ECG,NMI,0.9264266451344694
137,10000,10,mod,leiden-mod,ECG,AMI,0.0
138,10000,10,mod,leiden-mod,ECG,ARI,0.40891331635281797
139,10000,10,mod,leiden-mod,ECG,FPR,0.0
140,10000,10,mod,leiden-mod,ECG,FNR,0.0
141,10000,10,mod,leiden-mod,ECG,Precision,0.0
142,10000,10,mod,leiden-mod,ECG,Recall,0.0
143,10000,10,mod,leiden-mod,ECG,F1-Score,0.0
